,make,model,priceUSD,year,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment
0,honda,accord,565,1993,with mileage,960015.0,petrol,2000.0,black,mechanics,front-wheel drive,D
1,ford,fusion,5550,2008,with mileage,172000.0,diesel,1400.0,silver,mechanics,front-wheel drive,M
2,nissan,teana,8300,2008,with mileage,223000.0,petrol,2500.0,purple,auto,front-wheel drive,D
3,volkswagen,fox,3300,2005,with mileage,140000.0,petrol,1200.0,blue,mechanics,front-wheel drive,A
4,nissan,primera,2450,2002,with damage,413000.0,diesel,2200.0,burgundy,mechanics,front-wheel drive,D
5,nissan,x-trail,18900,2016,with mileage,148000.0,diesel,1600.0,black,mechanics,front-wheel drive,J
6,mitsubishi,galant,2000,1997,with mileage,378194.9,petrol,2000.0,green,auto,front-wheel drive,D
7,volkswagen,golf,5950,2002,with mileage,245000.0,diesel,1900.0,green,auto,front-wheel drive,C
8,volkswagen,passat,3200,1991,with mileage,400000.0,petrol,1800.0,burgundy,mechanics,front-wheel drive,D
9,renault,vel-satis,4700,2004,with mileage,210000.0,petrol,2000.0,gray,auto,front-wheel drive,E
10,audi,a6,17500,2013,with mileage,155000.0,petrol,2000.0,gray,auto,front-wheel drive,E
11,daewoo,matiz,2050,2013,with mileage,100000.0,petrol,800.0,silver,mechanics,front-wheel drive,A
12,toyota,land-cruiser,42500,2014,with mileage,200000.0,diesel,4500.0,white,auto,all-wheel drive,J
13,mitsubishi,galant,500,1993,for parts,230000.0,diesel,2000.0,burgundy,mechanics,front-wheel drive,D
14,mitsubishi,outlander,17950,2012,with mileage,77200.0,petrol,2000.0,white,auto,part-time four-wheel drive,J
15,opel,vectra,750,1991,with mileage,290000.0,petrol,1600.0,gray,mechanics,front-wheel drive,D
16,opel,zafira,11950,2015,with mileage,137800.0,diesel,1600.0,gray,mechanics,front-wheel drive,M
17,renault,megane,1800,1998,with mileage,400000.0,diesel,1900.0,other,mechanics,front-wheel drive,C
18,chevrolet,lacetti,4650,2011,with mileage,300000.0,petrol,1600.0,blue,mechanics,front-wheel drive,C
19,renault,laguna,3500,2003,with mileage,180000.0,diesel,2200.0,blue,mechanics,front-wheel drive,D
20,volkswagen,sharan,7500,2005,with mileage,350000.0,diesel,1900.0,other,mechanics,front-wheel drive,
21,audi,a6,9023,2005,with mileage,225526.0,diesel,2000.0,black,mechanics,front-wheel drive,E
22,nissan,primera,3300,2005,with mileage,220000.0,petrol,2000.0,silver,mechanics,front-wheel drive,D
23,mercedes-benz,c-klass,4944,1998,with mileage,250000.0,petrol,2300.0,other,auto,rear drive,D
24,lexus,rx,12550,2008,with mileage,202000.0,petrol,3500.0,other,auto,all-wheel drive,J
25,bmw,7-seriya,19350,2013,with mileage,152200.0,petrol,4400.0,black,auto,all-wheel drive,F
26,audi,80,500,1982,with mileage,240150.0,petrol,1600.0,silver,mechanics,,D
27,bmw,5-seriya,15800,2013,with mileage,140000.0,petrol,2000.0,black,auto,rear drive,E
28,opel,omega,2500,1998,with mileage,447000.0,petrol,2000.0,red,auto,rear drive,E
29,gaz,21,600,1968,with mileage,1111111.0,petrol,2400.0,other,mechanics,,E
30,volvo,xc70,4500,2001,with mileage,300000.0,petrol,2400.0,brown,auto,all-wheel drive,J
31,chevrolet,epica,7000,2012,with mileage,136000.0,petrol,2000.0,black,mechanics,front-wheel drive,
32,volkswagen,multivan,20850,2012,with mileage,208000.0,diesel,2000.0,silver,mechanics,front-wheel drive,M
33,mitsubishi,lancer,700,1993,with mileage,400000.0,petrol,1600.0,white,mechanics,front-wheel drive,C
34,jaguar,xj,19500,2011,with mileage,151420.0,petrol,5000.0,brown,auto,rear drive,
35,volkswagen,passat,1000,1991,with mileage,433000.0,petrol,2000.0,other,mechanics,front-wheel drive,D
36,ford,fusion-usa,12250,2016,with mileage,95000.0,petrol,1500.0,gray,auto,front-wheel drive,M
37,suzuki,grand-vitara,8500,2006,with mileage,193000.0,diesel,1900.0,gray,mechanics,all-wheel drive,J
38,audi,a6,9700,2005,with mileage,270.0,petrol,4200.0,gray,auto,all-wheel drive,E
39,renault,clio,4600,2009,with mileage,126000.0,petrol,1200.0,red,mechanics,front-wheel drive,B
40,lada-vaz,vesta,11300,2018,with mileage,75000.0,petrol,1800.0,black,auto,front-wheel drive,B
41,hyundai,santa-fe,5990,2004,with mileage,317545.0,petrol,2400.0,silver,mechanics,front-wheel drive,J
42,volvo,xc90,38000,2015,with mileage,134000.0,diesel,2000.0,brown,auto,all-wheel drive,J
43,mercedes-benz,s-klass,6100,1998,with mileage,265000.0,petrol,3200.0,blue,auto,rear drive,S
44,mercedes-benz,e-klass,4500,2000,with mileage,417000.0,diesel,2200.0,blue,mechanics,rear drive,E
45,citroen,c8,6300,2005,with mileage,290000.0,diesel,2200.0,other,mechanics,front-wheel drive,M
46,audi,a6,21000,2015,with mileage,107000.0,petrol,1800.0,black,auto,front-wheel drive,E
47,toyota,previa,6500,2005,with mileage,266.0,diesel,2000.0,silver,mechanics,front-wheel drive,
48,renault,laguna,2300,2000,with mileage,230000.0,petrol,1800.0,blue,mechanics,front-wheel drive,D
49,alfa-romeo,166,5100,2005,with mileage,320000.0,diesel,2400.0,silver,mechanics,front-wheel drive,E
50,suzuki,swift,400,1995,with mileage,195928.0,petrol,1600.0,blue,mechanics,front-wheel drive,
51,mercedes-benz,b-klass,13800,2015,with mileage,200000.0,diesel,1461.0,black,mechanics,front-wheel drive,M
