,Lever position (lp) [ ],Ship speed (v) [knots],Gas Turbine shaft torque (GTT) [kN m],Gas Turbine rate of revolutions (GTn) [rpm],Gas Generator rate of revolutions (GGn) [rpm],Starboard Propeller Torque (Ts) [kN],Port Propeller Torque (Tp) [kN],HP Turbine exit temperature (T48) [C],GT Compressor inlet air temperature (T1) [C],GT Compressor outlet air temperature (T2) [C],HP Turbine exit pressure (P48) [bar],GT Compressor inlet air pressure (P1) [bar],GT Compressor outlet air pressure (P2) [bar],Gas Turbine exhaust gas pressure (Pexh) [bar],Turbine Injecton Control (TIC) [%],Fuel flow (mf) [kg/s],GT Compressor decay state coefficient.,GT Turbine decay state coefficient.
0,9.3,27,72762.205,3560.393,9753.812,644.806,644.806,1086.583,288,780.304,4.523,0.998,22.879,1.05,90.435,1.79,0.973,0.978
1,6.175,18,29760.552,2306.825,8780.012,246.011,246.011,776.921,288,665.511,2.518,0.998,13.438,1.03,34.596,0.685,0.995,0.975
2,3.144,9,8375.774,1386.739,7051.621,60.318,60.318,589.764,288,580.587,1.392,0.998,7.566,1.02,12.477,0.247,0.98,0.978
3,3.144,9,8377.589,1386.748,7098.469,60.339,60.339,570.651,288,576.565,1.39,0.998,7.409,1.021,11.678,0.231,0.984,1
4,6.175,18,29761.091,2306.825,8782.024,246.021,246.021,769.855,288,663.682,2.518,0.998,13.374,1.031,34.154,0.676,0.998,0.98
5,7.148,21,38990.324,2678.068,9126.509,332.301,332.301,837.934,288,693.706,2.972,0.998,15.649,1.035,44.862,0.888,0.967,0.98
6,8.206,24,50994.854,3087.533,9311.074,438.083,438.083,930.553,288,734.485,3.582,0.998,18.502,1.041,60.855,1.205,0.968,0.984
7,6.175,18,29798.156,2307.217,8847.578,246.318,246.318,769.867,288,669.416,2.495,0.998,13.028,1.03,33.814,0.669,0.956,1
8,7.148,21,38999.258,2678.058,9121.944,332.401,332.401,816.202,288,686.368,2.979,0.998,15.558,1.036,43.461,0.861,0.986,0.989
9,9.3,27,72779.442,3560.436,9789.399,644.966,644.966,1090.551,288,784.201,4.477,0.998,22.25,1.049,89.86,1.779,0.955,0.997
10,8.206,24,50992.556,3087.416,9294.359,438.052,438.052,907.373,288,724.35,3.604,0.998,18.577,1.042,59.416,1.176,1,0.986
11,1.138,3,1061.381,1323.708,6637.691,6.035,6.035,484.499,288,547.456,1.124,0.998,6.043,1.019,22.592,0.126,0.978,0.99
12,9.3,27,72765.553,3560.398,9751.292,644.742,644.742,1075.493,288,777.424,4.524,0.998,22.781,1.051,89.432,1.77,0.979,0.983
13,9.3,27,72778.558,3560.42,9769.331,645.094,645.094,1068.112,288,777.031,4.5,0.998,22.347,1.05,88.258,1.747,0.974,0.998
14,8.206,24,50996.053,3087.562,9311.007,438.007,438.007,935.104,288,735.613,3.583,0.998,18.558,1.041,61.233,1.212,0.966,0.981
15,1.138,3,1052.953,1375.744,6675.15,8.927,8.927,460.706,288,546.32,1.129,0.998,6.023,1.019,0,0.083,0.981,0.994
16,6.175,18,29792.82,2307.365,8826.23,246.256,246.256,768.927,288,667.278,2.503,0.998,13.135,1.03,33.872,0.671,0.97,0.994
17,7.148,21,39005.798,2678.029,9117.652,332.359,332.359,813.721,288,684.618,2.985,0.998,15.615,1.036,43.379,0.859,0.993,0.987
18,3.144,9,8376.651,1386.743,7064.933,60.324,60.324,592.461,288,581.873,1.391,0.998,7.563,1.02,12.577,0.249,0.974,0.978
19,5.14,15,21629.507,1924.313,8475.338,175.272,175.272,714.695,288,638.907,2.085,0.998,11.187,1.026,25.57,0.506,0.974,0.979
20,7.148,21,38995.283,2678.077,9126.505,332.282,332.282,804.032,288,683.943,2.974,0.998,15.381,1.036,42.519,0.842,0.988,1
21,8.206,24,50995.892,3087.586,9320.341,438.123,438.123,932.562,288,737.377,3.567,0.998,18.334,1.041,60.756,1.203,0.956,0.99
22,3.144,9,8379.849,1386.761,7131.233,60.368,60.368,593.814,288,584.683,1.388,0.998,7.488,1.02,12.593,0.249,0.955,0.987
23,4.161,12,14720.452,1547.454,7744.704,113.758,113.758,641.391,288,606.418,1.662,0.998,8.961,1.023,17.253,0.342,0.978,0.983
24,2.088,6,2912.798,1357.889,6825.287,24.732,24.732,507.761,288,560.007,1.199,0.998,6.44,1.019,13.408,0.142,0.963,0.99
25,6.175,18,29761.32,2306.81,8805.797,245.913,245.913,788.023,288,670.955,2.508,0.998,13.377,1.03,35.121,0.695,0.971,0.976
26,1.138,3,6406.142,1382.91,6667.496,9.339,9.339,607.858,288,566.894,1.313,0.998,7.034,1.019,1.601,0.264,0.994,0.998
27,1.138,3,4042.122,1417.472,6735.88,11.578,11.578,564.31,288,567.607,1.245,0.998,6.717,1.019,0,0.196,0.958,0.986
28,7.148,21,38990.678,2678.073,9127.101,332.201,332.201,830.1,288,691.61,2.972,0.998,15.577,1.035,44.312,0.877,0.971,0.985
29,5.14,15,21628.683,1924.341,8480.222,175.238,175.238,689.951,288,632.372,2.084,0.998,10.993,1.027,24.213,0.479,0.987,0.998
30,5.14,15,21626.974,1924.317,8469.606,175.234,175.234,707.111,288,636.173,2.087,0.998,11.166,1.026,25.189,0.499,0.983,0.982
31,1.138,3,2040.263,1407.154,6727.948,10.958,10.958,510.381,288,560.093,1.171,0.998,6.334,1.019,0,0.13,0.951,0.98
32,1.138,3,1315.723,1375.207,6652.658,8.901,8.901,472.332,288,547.927,1.14,0.998,6.118,1.019,1.895,0.097,0.985,0.988
33,3.144,9,8379.563,1386.76,7130.775,60.364,60.364,584.57,288,581.903,1.388,0.998,7.442,1.02,12.224,0.242,0.963,0.994
34,5.14,15,21630.115,1924.335,8483.184,175.256,175.256,697.222,288,634.757,2.083,0.998,11.027,1.027,24.595,0.487,0.98,0.994
35,5.14,15,21622.851,1924.311,8456.802,175.239,175.239,702.93,288,633.664,2.091,0.998,11.208,1.027,25.02,0.495,0.995,0.98
36,5.14,15,21638.127,1924.328,8503.014,175.304,175.304,722.583,288,643.99,2.076,0.998,11.093,1.026,25.865,0.512,0.95,0.984
37,4.161,12,14720.154,1547.457,7750.789,113.758,113.758,628.794,288,603.181,1.661,0.998,8.869,1.023,16.666,0.33,0.985,0.994
38,5.14,15,21623.167,1924.305,8455.985,175.229,175.229,708.334,288,635.103,2.091,0.998,11.249,1.026,25.316,0.501,0.992,0.976
39,8.206,24,50996.999,3087.591,9315.73,438.065,438.065,943.198,288,738.834,3.578,0.998,18.57,1.041,61.777,1.223,0.957,0.979
40,6.175,18,29791.947,2307.411,8824.566,246.258,246.258,783.958,288,671.413,2.503,0.998,13.255,1.03,34.793,0.689,0.962,0.984
41,3.144,9,8373.247,1386.717,7003.294,60.282,60.282,582.56,288,576.672,1.394,0.998,7.59,1.02,12.215,0.242,1,0.976
42,4.161,12,14726.291,1547.478,7835.232,113.821,113.821,642.949,288,610.472,1.653,0.998,8.819,1.022,17.222,0.341,0.95,0.996
43,4.161,12,14717.308,1547.445,7706.334,113.73,113.73,627.343,288,600.986,1.665,0.998,8.937,1.023,16.649,0.33,1,0.988
